Variable Type,Variable,Information,Variable Schema,Dashboard,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component
Input,:math:`\text{CO}_2` Land Use Conversion Emission Factor,Annual :math:`\text{CO}_2` emission factor for conversion of land use of type ``$CAT-LANDUSE-I$`` to ``$CAT-LANDUSE-J$``,"``ef_lndu_conv_$CAT-LANDUSE-I$_to_$CAT-LANDUSE-J$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$`` (``$UNIT-MASS$ = gg``, ``$EMISSION-GAS$ = co2``, ``$UNIT-AREA$ = ha``)",,,,,0,1,1,0
Input,Initial Land Use Area Proportion,Proportion of total **country land** area (%/100) at time :math:`t_0`,``frac_lndu_initial_$CAT-LANDUSE$``,,,,,0,1,1,0
Input,Soil Carbon Land Use Factor,"See :math:`F_{LU}` in Equation 2.25 and Box 2.2, V4, C2 IPPC GNGHGI (2019R)",``factor_lndu_soil_carbon_$CAT-LANDUSE$``,,,,,0,1,1,0
Input,Unadjusted Land Use Transition Probability,Transition probability in Markov Chain model,``pij_lndu_$CAT-LANDUSE-I$_to_$CAT-LANDUSE-J$``,,,,,0,1,1,0
Output,:math:`\text{CO}_2` Emissions from Conversion Away from Land Use Type,Emissions calculated by converting away from each land use type,``emission_co2e_$EMISSION-GAS$_lndu_conversion_away_$CAT-LANDUSE$`` (``$EMISSION-GAS$ = co2``),,,,,1,1,1,1
Output,:math:`\text{CO}_2` Emissions from Land Use Conversion,Emissions from conversion from category I to category j,``emission_co2e_$EMISSION-GAS$_lndu_conversion_$CAT-LANDUSE-I$_to_$CAT-LANDUSE-J$`` (``$EMISSION-GAS$ = co2``),,,,,0,1,1,0
Output,Area of Land Use Converted,,``area_lndu_conversion_from_$CAT-LANDUSE-I$_to_$CAT-LANDUSE-J$``,,,,,1,1,1,0
Output,Area of Land Use Converted Away from Type,,``area_lndu_conversion_from_$CAT-LANDUSE$``,,,,,1,1,1,0
Output,Area of Land Use Converted to Type,,``area_lndu_conversion_to_$CAT-LANDUSE$``,,,,,1,1,1,0
Output,Land Use Area,Area of each land use category,``area_lndu_$CAT-LANDUSE$``,,Internally calcualted using Markov with non-stationary transition probabilities.,,,1,1,1,0